human_utc,timestamp,close,pct15_pct_str,pct30_pct_str,pct60_pct_str,long_signal,short_quick,action,action_desc,pos_side,pos_entry,pos_size,pos_notional,equity_fmt
2025-10-02 14:15:00 UTC,2025-10-02 14:15:00+00:00,12.983,+0.02%,+0.80%,+1.36%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 14:30:00 UTC,2025-10-02 14:30:00+00:00,12.9,-0.64%,-0.62%,+0.40%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 14:45:00 UTC,2025-10-02 14:45:00+00:00,12.892,-0.06%,-0.70%,+0.09%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 15:00:00 UTC,2025-10-02 15:00:00+00:00,12.533,-2.78%,-2.84%,-3.45%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 15:15:00 UTC,2025-10-02 15:15:00+00:00,12.746,+1.70%,-1.13%,-1.83%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 15:30:00 UTC,2025-10-02 15:30:00+00:00,12.256,-3.84%,-2.21%,-4.99%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 15:45:00 UTC,2025-10-02 15:45:00+00:00,12.308,+0.42%,-3.44%,-4.53%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 16:00:00 UTC,2025-10-02 16:00:00+00:00,12.077,-1.88%,-1.46%,-3.64%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 16:15:00 UTC,2025-10-02 16:15:00+00:00,11.013,-8.81%,-10.52%,-13.60%,True,False,open_long,Open LONG (signal: deep drop),long,11.0185065,181.4873912358268,1999.720000000001,"$10,478.99"
2025-10-02 16:30:00 UTC,2025-10-02 16:30:00+00:00,10.828,-1.68%,-10.34%,-11.65%,False,False,close_long_sl,Close LONG (SL hit),,,,,"$10,440.66"
2025-10-02 16:45:00 UTC,2025-10-02 16:45:00+00:00,10.387,-4.07%,-5.68%,-15.61%,False,False,,,,,,,"$10,440.66"
2025-10-02 17:00:00 UTC,2025-10-02 17:00:00+00:00,9.764,-6.00%,-9.83%,-19.15%,False,False,,,,,,,"$10,440.66"
2025-10-02 17:15:00 UTC,2025-10-02 17:15:00+00:00,10.55,+8.05%,+1.57%,-4.20%,False,True,open_short,Open SHORT (quick rise),short,10.544725,198.0262482138492,2088.132330196781,"$10,439.20"
2025-10-02 17:30:00 UTC,2025-10-02 17:30:00+00:00,10.584,+0.32%,+8.40%,-2.25%,False,False,,,short,10.544725,198.0262482138492,2088.132330196781,"$10,439.20"
2025-10-02 17:45:00 UTC,2025-10-02 17:45:00+00:00,10.026,-5.27%,-4.97%,-3.48%,False,False,,,short,10.544725,198.0262482138492,2088.132330196781,"$10,439.20"
2025-10-02 18:00:00 UTC,2025-10-02 18:00:00+00:00,9.568,-4.57%,-9.60%,-2.01%,False,False,,,short,10.544725,198.0262482138492,2088.132330196781,"$10,439.20"
2025-10-02 18:15:00 UTC,2025-10-02 18:15:00+00:00,9.792,+2.34%,-2.33%,-7.18%,False,False,,,short,10.544725,198.0262482138492,2088.132330196781,"$10,439.20"
